Rank,Title,Director,Actors
1,Guardians of the Galaxy,James Gunn,"Chris Pratt, Vin Diesel, Bradley Cooper, Zoe Saldana"
2,Prometheus,Ridley Scott,"Noomi Rapace, Logan Marshall-Green, Michael Fassbender, Charlize Theron"
3,Split,M. Night Shyamalan,"James McAvoy, Anya Taylor-Joy, Haley Lu Richardson, Jessica Sula"
4,Sing,Christophe Lourdelet,"Matthew McConaughey,Reese Witherspoon, Seth MacFarlane, Scarlett Johansson"
6,The Great Wall,Yimou Zhang,"Matt Damon, Tian Jing, Willem Dafoe, Andy Lau"
7,La La Land,Damien Chazelle,"Ryan Gosling, Emma Stone, Rosemarie DeWitt, J.K. Simmons"
8,Mindhorn,Sean Foley,"Essie Davis, Andrea Riseborough, Julian Barratt,Kenneth Branagh"
9,The Lost City of Z,James Gray,"Charlie Hunnam, Robert Pattinson, Sienna Miller, Tom Holland"
10,Passengers,Morten Tyldum,"Jennifer Lawrence, Chris Pratt, Michael Sheen,Laurence Fishburne"
11,Fantastic Beasts and Where to Find Them,David Yates,"Eddie Redmayne, Katherine Waterston, Alison Sudol,Dan Fogler"
12,Hidden Figures,Theodore Melfi,"Taraji P. Henson, Octavia Spencer, Janelle Monáe,Kevin Costner"
13,Rogue One,Gareth Edwards,"Felicity Jones, Diego Luna, Alan Tudyk, Donnie Yen"
14,Moana,Ron Clements,"Auli'i Cravalho, Dwayne Johnson, Rachel House, Temuera Morrison"
15,Colossal,Nacho Vigalondo,"Anne Hathaway, Jason Sudeikis, Austin Stowell,Tim Blake Nelson"
16,The Secret Life of Pets,Chris Renaud,"Louis C.K., Eric Stonestreet, Kevin Hart, Lake Bell"
17,Hacksaw Ridge,Mel Gibson,"Andrew Garfield, Sam Worthington, Luke Bracey,Teresa Palmer"
18,Jason Bourne,Paul Greengrass,"Matt Damon, Tommy Lee Jones, Alicia Vikander,Vincent Cassel"
19,Lion,Garth Davis,"Dev Patel, Nicole Kidman, Rooney Mara, Sunny Pawar"
20,Arrival,Denis Villeneuve,"Amy Adams, Jeremy Renner, Forest Whitaker,Michael Stuhlbarg"
21,Gold,Stephen Gaghan,"Matthew McConaughey, Edgar Ramírez, Bryce Dallas Howard, Corey Stoll"
